,province,red_wine_counts,latitude,longtitude
0,California,32247,36.778261,-119.4179324
1,Washington,7303,47.7510741,-120.7401385
2,Tuscany,5542,43.7710513,11.2486208
3,Mendoza Province,3982,-32.8896247,-68.8526867
4,Northern Spain,3877,42.8169767,-1.641765
5,Oregon,3252,43.8041334,-120.5542012
6,Piedmont,2538,45.0522366,7.5153885
7,South Australia,2205,-30.0002315,136.2091547
8,Bordeaux,2161,44.837789,-0.57918
9,Veneto,1636,45.4414662,12.3152595
10,Burgundy,1361,47.0525047,4.3837215
11,Sicily & Sardinia,1358,37.5999938,14.0153557
12,Catalonia,1131,41.5911589,1.5208624
13,New York,1108,40.7127753,-74.0059728
14,Colchagua Valley,1014,-34.6761419,-71.097317
15,Rhône Valley,927,35.07502,-81.02071
16,Central Italy,889,41.87194,12.56738
17,Southwest France,861,46.227638,2.213749
18,Southern Italy,775,42.975917,-89.535111
19,Maipo Valley,773,-33.8088442,-70.7644236
20,Provence,768,44.0144936,6.2116438
21,Languedoc-Roussillon,756,43.5912356,3.2583626
22,Other,753,37.680119,-97.317561
23,Douro,691,41.5012768,-5.5122932
24,Port,635,36.230608,-95.7402324
25,Central Spain,602,40.463667,-3.74922
26,Alentejano,515,-22.813271,-43.420189
27,Burgenland,469,47.1537165,16.2688797
28,Galicia,466,42.5750554,-8.1338558
29,Marlborough,434,42.3459271,-71.5522874
30,Stellenbosch,428,-33.9321045,18.860152
31,Maule Valley,402,39.056839,-79.431168
32,Alsace,396,48.3181795,7.4416241
33,Levante,374,39.9490032,-75.5879389
34,Northeastern Italy,371,45.9295022,11.5621417
35,Victoria,367,28.8052674,-97.0035982
36,Central Valley,364,40.1998777,-122.2011075
37,Loire Valley,337,47.5532402,1.0105289
38,Virginia,319,37.4315734,-78.6568942
39,Australia Other,308,-25.734968,134.489563
40,Niederösterreich,291,48.108077,15.8049558
41,Beaujolais,288,29.7857642,-90.7681473
42,Western Australia,271,-27.6728168,121.6283098
43,Western Cape,247,-33.2277918,21.8568586
44,Galilee,244,41.380244,-71.4925628
45,Casablanca Valley,240,-33.3182828,-71.4070899
46,Lombardy,236,45.4790671,9.8452433
47,Rapel Valley,216,-33.9429359,-71.7361783
48,Curicó Valley,216,-34.9859489,-71.2417746
49,Central Otago,205,-44.9566315,169.3988451
50,Lisboa,196,38.7222524,-9.1393366
51,Hawke's Bay,193,-39.1089867,176.7416374
52,Cachapoal Valley,191,-34.1718313,-70.6216794
53,Tejo,190,40.780237,-74.135109
54,Wachau,180,48.3896089,15.4748897
55,Aconcagua Valley,168,-32.653179,-70.0108675
56,Dão,166,41.7499466,-87.911647
57,Coastal Region,162,28.9026185,-82.5771421
58,Kremstal,151,40.5791993,-73.9846613
59,France Other,146,48.8583701,2.2944813
60,Kamptal,138,48.585085,15.4126618
61,New South Wales,135,-31.2532183,146.921099
62,Martinborough,132,-41.2190932,175.4600651
63,Bairrada,106,43.6532792,-79.4286592
64,Judean Hills,103,31.6666667,35.1666667
65,Paarl,97,-33.7342304,18.9621091
66,Alentejo,95,38.2003808,-7.800085
67,Nemea,94,37.82133,22.660998
68,Limarí Valley,84,-30.7462002,-71.0022311
69,Idaho,81,44.0682019,-114.7420408
70,Thermenregion,79,48.021153,16.279046
71,Robertson,75,36.5250666,-86.8621827
72,Pfalz,74,49.4822116,7.8609481
73,New Mexico,74,34.5199402,-105.8700901
74,Santorini,63,36.3931562,25.4615092
75,Peumo,58,-34.3963392,-71.1700793
76,Estremadura,57,39.4937392,-6.0679194
77,Greece,54,39.074208,21.824312
78,Península de Setúbal,49,38.540131,-9.01226
79,Peloponnese,48,37.5079472,22.37349
80,Carnuntum,48,48.1129002,16.8650784
81,British Columbia,47,53.7266683,-127.6476205
82,Villány,47,45.8700399,18.453201
83,Baden,46,48.00214,16.23091
84,Weinviertel,42,48.3845561,16.5149128
85,Simonsberg-Stellenbosch,42,-33.931612,18.870009
86,Swartland,41,-33.3306832,18.7125791
87,Wagram-Donauland,41,48.4333333,15.8
88,Naoussa,41,37.1235743,25.238722
89,Mittelburgenland,40,47.49497,16.50879
90,Nelson,39,40.2016771,-98.0678201
